filname, time (UTC),avg0,s0,c0,avg1,s1,c1
1593536401.jpg,2020-06-30 17:00:00,147,3.3, 59.7,160,3.8, 55.3
1593165601.jpg,2020-06-26 10:00:00,140,2.0, 74.1,152,2.8, 55.1
1606825801.jpg,2020-12-01 12:30:00,116,1.7, 68.3,117,1.3, 56.5
1603747801.jpg,2020-10-26 21:30:00,61,0.4, 24.9,61,0.5, 21.2
1591435801.jpg,2020-06-06 09:30:00,121,0.6, 73.3,118,0.7, 65.0
1606230001.jpg,2020-11-24 15:00:00,108,1.6, 40.9,113,2.7, 69.2
1593556201.jpg,2020-06-30 22:30:00,82,1.5, 46.8,87,2.2, 35.7
1604007001.jpg,2020-10-29 21:30:00,56,0.7, 29.1,56,1.1, 25.3
1592074801.jpg,2020-06-13 19:00:00,114,3.8, 57.5,99,3.4, 40.6
1590598801.jpg,2020-05-27 17:00:00,110,3.3, 48.6,90,2.7, 38.2
1582466401.jpg,2020-02-23 14:00:00,116,2.6, 36.8,114,3.5, 45.9
1595358001.jpg,2020-07-21 19:00:00,101,1.7, 37.5,84,1.4, 23.1
1599670801.jpg,2020-09-09 17:00:00,103,1.5, 52.5,95,1.8, 45.1
1608044401.jpg,2020-12-15 15:00:00,111,2.0, 60.2,114,2.7, 76.0
1582054201.jpg,2020-02-18 19:30:00,95,1.9, 40.4,95,2.5, 35.7
1576508401.jpg,2019-12-16 15:00:00,92,0.5, 26.6,93,2.4, 45.6
1602174601.jpg,2020-10-08 16:30:00,113,2.9, 52.6,120,3.6, 57.4
1598284801.jpg,2020-08-24 16:00:00,125,2.2, 41.8,122,2.2, 38.9
1597930201.jpg,2020-08-20 13:30:00,121,0.9, 37.7,118,1.0, 36.6
1585495801.jpg,2020-03-29 15:30:00,80,0.4, 25.7,83,0.5, 23.4
1590836401.jpg,2020-05-30 11:00:00,115,2.1, 63.1,114,2.7, 55.0
1587040201.jpg,2020-04-16 12:30:00,138,3.6, 52.4,135,4.4, 53.9
1586457001.jpg,2020-04-09 18:30:00,110,2.0, 57.9,102,2.6, 41.3
1580902201.jpg,2020-02-05 11:30:00,42,0.6, 16.6,42,0.7, 14.4
